prompt_index,status,image_url,prompt
1,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbcpygvpvk9axwy1yv87v7.png,"a clean portrait photo of the woman in this image standing in front of a plain off-white wall, soft diffused window light from the left, wearing a simple dark crew neck t-shirt, shoulders and chest visible, looking directly into the camera with a relaxed neutral expression"
2,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbcxx3kcktfq0a374jx4vg.png,"a well-lit headshot of the woman in this image taken in a bright room, even lighting from both sides eliminating shadows, slight smile with lips closed, hair neatly styled, sharp focus on the eyes, blurred cream background"
3,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbcq11sbv6ftae12xbk3n4.png,"a passport-style photo of the woman in this image against a flat white background, face centered in frame, ears visible, no accessories, neutral expression with mouth closed, shot from chest up with a 50mm equivalent lens"
4,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbcvm97jj43vzp2q09g9d4.png,"a medium shot of the woman in this image standing outdoors on an overcast day, flat even lighting with no harsh shadows, wearing a navy blue button-down shirt, hands relaxed at sides, a row of parked cars and a sidewalk visible behind them"
5,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbd71w18z7kqypcp74zcs3.png,"a photo of the woman in this image sitting at a clean wooden desk in a quiet home office, a laptop and coffee mug on the desk, a bookshelf with scattered books on the wall behind, warm overhead light, looking at the camera with a calm focused expression"
6,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbdbzxktwjr0ky03ybvmpm.png,"a waist-up photo of the woman in this image standing in a park on a mild spring afternoon, a few bare trees and a gravel path behind them, wearing a gray zip-up fleece jacket, arms crossed loosely, soft natural daylight, relaxed posture"
7,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbda1rcq71xx4e3zh1w3vh.png,"a sharp photo of the woman in this image leaning slightly against a concrete pillar in an open corridor, wearing a white linen shirt with sleeves rolled up, one hand in pocket, a long empty hallway stretching out of focus behind them"
8,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbdh77rrjyggqqzvg0gqky.png,"a candid-looking photo of the woman in this image standing in a kitchen doorway, warm tungsten light spilling from the room behind, wearing a casual dark henley shirt, one hand resting on the door frame, slight head tilt, natural and unposed"
9,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbdk7qpmkam35cpqs4j2ez.png,"a photo of the woman in this image standing on a quiet residential street in the early morning, a few houses with mailboxes and trimmed hedges visible, wearing a light jacket over a t-shirt, hands in jacket pockets, soft blue morning light"
10,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtbdvj4p0wjjtv11z24mhq1.png,"a chest-up photo of the woman in this image sitting on a simple wooden bench in a courtyard, a stone wall with climbing ivy behind them, late afternoon light casting a warm glow, wearing a dark olive sweater, looking into the camera with a slight squint"
