source_index,edit_index,model,status,output_url,edit_prompt,source_url
1,1,phota,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmwj69rgdyv1anfsy63we.png,change the lighting to dramatic side lighting with half the face in deep shadow,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,1,nb2_ref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmfmkvcmy790agqgb3xj.png,change the lighting to dramatic side lighting with half the face in deep shadow,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,1,nb2_noref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmev6caaef8a963428hkd.png,change the lighting to dramatic side lighting with half the face in deep shadow,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,2,phota,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthn3511ffq1b8j2jz4k435.png,make her expression a wide genuine laugh with eyes crinkled and mouth open,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,2,nb2_ref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmqrfz47rg4kt9ea07tyq.png,make her expression a wide genuine laugh with eyes crinkled and mouth open,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,2,nb2_noref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnb4z7x5g2kphmcth0m09.png,make her expression a wide genuine laugh with eyes crinkled and mouth open,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,3,phota,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthp97vf7x1p98kdre54sgk.png,make her look over her right shoulder toward something behind her,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,3,nb2_ref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmd1v1ng5ndpw35sx9dy.png,make her look over her right shoulder toward something behind her,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,3,nb2_noref,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnzd9frmyczcze32rv548.png,make her look over her right shoulder toward something behind her,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
1,4,phota,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthprzkhcrpa3h907et9txb.png,change the camera angle to a low angle shot looking up at her,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt84vemy0jdbxwqmw8q99v6.png
