source_index,edit_index,model,score,edit_prompt,output_url
1,1,phota,19.9770450592041,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmwj69rgdyv1anfsy63we.png
1,2,phota,21.052173614501953,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthn3511ffq1b8j2jz4k435.png
1,3,phota,22.097537994384766,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthp97vf7x1p98kdre54sgk.png
1,4,phota,19.125213623046875,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthprzkhcrpa3h907et9txb.png
1,5,phota,21.0361328125,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthqf8etebg6gynffb2crhw.png
3,1,phota,20.059131622314453,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthr7sda9vkfe7yvdgaskmn.png
3,2,phota,20.349037170410156,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthrdxtds6j4wfs3gbexa10.png
3,3,phota,21.084938049316406,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthsar7dcvatmhverycvf48.png
3,4,phota,19.17381477355957,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthss7vsgx8jt2hrsfbcyhz.png
3,5,phota,20.892179489135742,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthtm6pnf63ce2ev8s76j3j.png
5,1,phota,19.222076416015625,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthve8mk3ydvzmhm12v7deh.png
5,2,phota,20.718154907226562,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthvr31d23tx1nzagjwqrtr.png
5,3,phota,20.204439163208008,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthwqgze5x3nmr7q62hagez.png
5,4,phota,18.92725944519043,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthxem1ed16zk6kqqemxfh5.png
5,5,phota,20.74469757080078,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthxzf7rzadh8b857h1gbn1.png
8,1,phota,19.8597412109375,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthyn98rvt24nq2srzxzsee.png
8,2,phota,20.424232482910156,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthz3gv3z68xcej193s6wg0.png
8,3,phota,20.596778869628906,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj03nkha2dbzc3k3x13zq3.png
8,4,phota,19.468149185180664,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj0e1qez2nnsr1zwzmbwq1.png
8,5,phota,21.468183517456055,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj1g15bpty8y2wp2hfcv1d.png
14,1,phota,18.893728256225586,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj2hyjfm9d2mqjrztj8jyk.png
14,2,phota,19.931106567382812,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj2sgzcxa02t6v5nnggsq1.png
14,3,phota,19.62980079650879,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj3k02tcrz9010fc77mtzr.png
14,4,phota,17.943382263183594,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj42awrj5w4e71j62a2j1v.png
14,5,phota,20.684925079345703,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj55nttc7xyqsgq36zanb4.png
21,1,phota,19.472736358642578,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj5fs05djspcrxq1m6e7cr.png
21,2,phota,20.340761184692383,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj64dxw9kxc2gfa3jmpsx8.png
21,3,phota,21.425016403198242,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj7486bxxe1a7kkrpdc7vy.png
21,4,phota,19.147457122802734,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj7hvareyqz3sdea828n1f.png
21,5,phota,21.06110954284668,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj8gz1jv4sf2mem4ntryry.png
34,1,phota,18.3148193359375,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj9mf684346z082t7zn1nm.png
34,2,phota,19.66687774658203,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj9y59fkg8v4a39vtzv1yv.png
34,3,phota,19.29148292541504,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjavd6r6570ve6r9r1dwb8.png
34,4,phota,18.858976364135742,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjb6rd8qzrdm5tyhn2fnjt.png
34,5,phota,20.46709442138672,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjcetdwtgwbjgsvhv7r29m.png
70,1,phota,19.525014877319336,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjd1dc1xh3mxax9mpnkxk5.png
70,2,phota,19.673980712890625,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjd53sj03q5dbfj8nkhk5n.png
70,3,phota,19.00801658630371,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjf29h6btsz85nsyq5bpbt.png
70,4,phota,18.423748016357422,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjetw23aj2w3hd3xns0wza.png
70,5,phota,20.796384811401367,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjfmhxv8wfk3jns6k24hda.png
83,1,phota,19.927927017211914,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjgscm96v5804rrtcvbb08.png
83,2,phota,21.00177001953125,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjh3sfgt6k5vp2axhmbc9g.png
83,3,phota,21.638355255126953,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjj2jwjcasm32v2a0gh7cz.png
83,4,phota,19.604812622070312,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjjd8s4gvepc20qrmgxxw8.png
83,5,phota,21.912185668945312,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjk4f37yayjf9xydcpbzfn.png
91,1,phota,18.223167419433594,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjmmajdjfb7waz6175vx9k.png
91,2,phota,19.801586151123047,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjm5fj1fn2ckscaamab267.png
91,3,phota,19.61419105529785,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjnrmq90137zvzmjhb1m06.png
91,4,phota,17.819862365722656,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjppa4mh81x5sjm6zrd117.png
91,5,phota,19.933013916015625,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjptmrcdrhcrted9nw7kfy.png
1,1,nb2_ref,20.527368545532227,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmfmkvcmy790agqgb3xj.png
1,2,nb2_ref,21.38705825805664,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmqrfz47rg4kt9ea07tyq.png
1,3,nb2_ref,21.668352127075195,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmd1v1ng5ndpw35sx9dy.png
1,4,nb2_ref,19.502214431762695,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthpma0gkgmjmqp29djrnmb.png
1,5,nb2_ref,21.601015090942383,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthq4ap8k647s4s577dbpe1.png
3,1,nb2_ref,20.355140686035156,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthqxapb5y0akcv642pg8kd.png
3,2,nb2_ref,20.85332489013672,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthrdcyax309yrmh6p8v029.png
3,3,nb2_ref,21.62255859375,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmths8c6y8any86nvggfvfzk.png
3,4,nb2_ref,19.319080352783203,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthsg9vyxj5j4ht326g32jc.png
3,5,nb2_ref,21.764774322509766,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthte0kv3csa9wwbqxn61kz.png
5,1,nb2_ref,19.687604904174805,"change the lighting to dramatic side lighting with half the face in deep shadow",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthtx1df84pm4hpyp82kqe2.png
5,2,nb2_ref,20.423219680786133,"make her expression a wide genuine laugh with eyes crinkled and mouth open",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthvgv92w6x4epndbn6ezv2.png
5,3,nb2_ref,20.319496154785156,"make her look over her right shoulder toward something behind her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthwb436pbhm6q24k116tvq.png
5,4,nb2_ref,18.86455726623535,"change the camera angle to a low angle shot looking up at her",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthwpbwg1dtwf8ehnb0nrgt.png
5,5,nb2_ref,20.94009780883789,"change her outfit to a bright red formal dress with a different background",https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthxm7qgedm3pf0jfc41kk7.png
